Generation,Max Fitness,Avg Fitness
1,702.6863589921855,62.83630295740591
2,702.6863589921855,78.03694535556222
3,14237.223303355036,401.6875166035823
4,14237.223303355036,425.6409293565888
5,14237.223303355036,361.3519321418366
6,14237.223303355036,339.95849071055346
7,14237.223303355036,337.52638013294984
8,14237.223303355036,370.94558087273646
9,14237.223303355036,404.5804558441096
10,14237.223303355036,351.64415486898696
11,14237.223303355036,354.0555055375825
12,14237.223303355036,516.8990557356406
13,14237.223303355036,497.8595758935434
14,14237.223303355036,474.7660091133583
15,14237.223303355036,555.9975997882615
16,40364.02435528506,1975.5868972817268
17,40364.02435528506,968.451269222678
18,40364.02435528506,914.0583021152952
19,958712.1847796902,22194.977245535687
20,958712.1847796902,19307.60899275135
21,958712.1847796902,19405.286665259544
22,958712.1847796902,25689.250135849463
23,958712.1847796902,19309.789482243097
24,958712.1847796902,19367.88827133204
25,958712.1847796902,19525.07304066024
26,958712.1847796902,19302.673238130865
27,958712.1847796902,19288.766303278186
28,958712.1847796902,19489.14678106813
29,958712.1847796902,19583.53727263884
30,958712.1847796902,19298.958192576225
31,958712.1847796902,22699.994846791193
32,958712.1847796902,19475.450455177815
33,958712.1847796902,19566.407405220074
34,958712.1847796902,19229.849074643673
35,958712.1847796902,20270.2343235331
36,958712.1847796902,19432.636790474106
37,958712.1847796902,19309.567292479576
38,958712.1847796902,19719.191209490757
39,958712.1847796902,19346.513485348798
40,958712.1847796902,29256.764200268826
41,958712.1847796902,19323.00171648888
42,958712.1847796902,19487.3897092967
43,958712.1847796902,19239.642789057994
44,958712.1847796902,19339.07238868211
45,958712.1847796902,19405.320835579012
46,958712.1847796902,19957.694409941796
47,958712.1847796902,19319.761973809134
48,958712.1847796902,20610.036286637696
49,958712.1847796902,19569.068197230255
50,1211.4741642990107,71.4240512096277
51,160.527065460729,12.689276488047174
52,121.51270195032355,13.127506600344732
53,74.91556419761231,15.079504617136124
54,44.715626905607756,6.917614100632226
55,22.34042044480204,5.602167200264683
56,11.899614758735849,3.7184042891289715
57,6.374179713867966,1.5979734418492626
58,318.21959961914547,10.02370689858117
59,37.7744732425912,6.071265576928925
60,18.105219497856524,3.2199656794553646
61,90.03804404329088,5.609095608444823
62,45.63267413243185,4.086090963109728
63,24.309983193494787,4.163378776647924
64,28.81412042844168,3.9359163291057304
65,7.567939112256098,1.6357553501735933
66,10.001235425244055,1.524413739026784
67,1.0869293127685697,1.0132305921797333
68,1.0850382454765952,1.0070350545558475
69,1.081019216995059,1.0176415570304813
70,1.0844945923068947,1.0109591083305787
71,1.0724110306789838,0.9932827741148177
72,1.0766606715731577,0.988431817532658
73,1.0525734348788685,0.9426358157902791
74,1.024822471496042,0.8762791579971314
